feature,importance
wl_lag_1,0.8563246885442501
precip_lag_1,0.05412428599112265
wl_change_1d,0.018029387039979035
precip_sum_3d,0.015268623173960438
precip_lag_3,0.003796659118038034
cos_doy,0.003547159626673983
precip_lag_5,0.002993346781075551
precip_lag_4,0.0027071591868488044
wl_mean_previous_14d,0.0024951885261187494
precip_lag_8,0.0024369001483725418
wl_mean_previous_7d,0.0024145584769534557
precip_lag_2,0.002370165684913244
precip_sum_30d,0.0023485334515369093
sin_doy,0.002163100711125548
wl_lag_2,0.002054920244731927
wl_lag_3,0.0019393203784770028
precip_lag_10,0.0019334007936115502
precip_lag_14,0.0018939597737158422
precip_lag_7,0.0018786577132986957
precip_lag_0,0.001823179052446226
precip_lag_9,0.0018222118030649566
precip_lag_11,0.0017314248057176726
precip_lag_6,0.0016633764829941961
precip_sum_7d,0.0015795936036656617
precip_lag_12,0.0015416197889460436
precip_lag_13,0.0015064953066060713
wl_mean_previous_3d,0.0013434195934530217
precip_sum_14d,0.001287933651911473
wl_lag_4,0.0011962223440723867
month,0.0010408269425770584
wl_lag_7,0.0010004919811588309
wl_lag_5,0.0009102165639645393
wl_lag_6,0.0008329727146177676
